Open,Year,High,Month,Low,Close
38900,2017,39380,1,38240,38430
38300,2017,38450,1,37930,38010
38710,2017,38880,1,38480,38560
38620,2017,38850,1,38150,38690
40500,2017,41030,1,39720,39720
43250,2017,43330,1,42470,42590
42480,2017,43330,1,42450,43290
